,zip_code,CBSA Title,MSA_central_outlying,pct_black_alone,pop_black_alone,pct_below_poverty,pct_below_poverty_white_alone,pct_below_poverty_black_alone,pct_below_poverty_asian_alone,pct_below_poverty_hispanic,quartiles_pct_below_poverty,pct_change_16_to_21_pct_below_poverty_black_alone,pct_homeownership,pct_homeownership_white_alone,pct_homeownership_black_alone,pct_homeownership_asian_alone,pct_homeownership_hispanic,quartiles_pct_homeownership,pct_change_16_to_21_pct_homeownership_black_alone,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt,pct_hh_with_broadband_internet_subscriptions,pct_hh_with_broadband_internet_subscriptions_white_alone,pct_hh_with_broadband_internet_subscriptions_black_alone,pct_hh_with_broadband_internet_subscriptions_asian_alone,pct_hh_with_broadband_internet_subscriptions_hispanic,quartiles_pct_hh_with_broadband_internet_subscriptions,pct_bach_degree_or_higher_white_alone,pct_bach_degree_or_higher_black_alone,pct_bach_degree_or_higher_asian_alone,pct_bach_degree_or_higher_hispanic,quartiles_pct_bach_degree_or_higher_white_alone,quartiles_pct_bach_degree_or_higher_black_alone,quartiles_pct_bach_degree_or_higher_asian_alone,quartiles_pct_bach_degree_or_higher_hispanic
0,37010,"Clarksville, TN-KY",Central,8.4,453.0,9.5,8.7,15.0,0.0,4.9,26-50% of geographies,-10.4,94.5,93.4,99.5,,99.3,Top 25% of geographies,-0.5,248.0,16.0,78.0,154.0,48.0,4.0,44.0,,2.0,,,2.0,8.0,4.0,4.0,,,,,,8647099.0,127588.0,4788120.0,3731392.0,4206512.0,68680.0,4137833.0,,41666.0,,,41666.0,90588.0,28908.0,61680.0,,,,,,90.9,91.8,88.1,100.0,80.5,51-75% of geographies,38.6,28.3,100.0,50.5,Top 25% of geographies,51-75% of geographies,Top 25% of geographies,Top 25% of geographies
1,37012,,Outlying,3.3,68.0,7.4,4.6,82.4,0.0,11.5,26-50% of geographies,33.5,79.1,81.6,42.0,,0.0,51-75% of geographies,-33.8,184.0,10.0,38.0,136.0,26.0,4.0,22.0,,,,,,,,,,,,,,6741978.0,87318.0,1826520.0,4828140.0,121234.0,23852.0,97382.0,,,,,,,,,,,,,,84.6,83.9,94.1,100.0,88.5,26-50% of geographies,11.7,0.0,100.0,0.0,Bottom 25% of geographies,Bottom 25% of geographies,Top 25% of geographies,Bottom 25% of geographies
2,37013,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,36.0,36750.0,17.1,17.1,13.5,22.8,29.5,51-75% of geographies,1.3,56.2,62.3,49.8,74.4,48.6,Bottom 25% of geographies,3.0,6636.0,1128.0,1394.0,4114.0,230.0,78.0,148.0,4.0,1298.0,666.0,606.0,26.0,148.0,38.0,98.0,12.0,84.0,20.0,54.0,10.0,151016526.0,21775742.0,41227561.0,88013222.0,10305560.0,1224280.0,9047532.0,33750.0,21486907.0,10848749.0,9806497.0,831662.0,4553818.0,519738.0,3341954.0,692126.0,5372572.0,2380356.0,1242648.0,1749568.0,93.4,94.1,92.6,94.7,91.7,51-75% of geographies,29.7,32.6,24.5,10.1,51-75% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
3,37014,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,0.4,11.0,7.4,7.2,0.0,,0.0,26-50% of geographies,,98.0,97.9,98.0,,98.0,Top 25% of geographies,,166.0,26.0,42.0,98.0,38.0,22.0,16.0,,,,,,6.0,2.0,4.0,,,,,,9481836.0,1582596.0,2169430.0,5729810.0,2865866.0,1535996.0,1329870.0,,,,,,55000.0,5000.0,50000.0,,,,,,97.4,97.3,100.0,,100.0,Top 25% of geographies,29.5,54.5,,100.0,51-75% of geographies,Top 25% of geographies,,Top 25% of geographies
4,37015,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,1.9,364.0,10.8,10.4,21.2,0.0,17.1,51-75% of geographies,10.4,74.6,75.7,64.5,,54.7,26-50% of geographies,33.3,704.0,88.0,150.0,466.0,132.0,56.0,72.0,4.0,12.0,,12.0,,4.0,,4.0,,,,,,40969189.0,2397262.0,4783707.0,33788220.0,5451574.0,1813970.0,3522440.0,115164.0,181636.0,,181636.0,,19196.0,,19196.0,,,,,,86.6,87.0,89.5,100.0,67.6,26-50% of geographies,18.4,15.8,100.0,12.9,26-50% of geographies,51-75% of geographies,Top 25% of geographies,26-50% of geographies
5,37016,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,0.0,0.0,6.0,5.9,,,0.0,26-50% of geographies,,84.4,84.4,,,,51-75% of geographies,,42.0,,,42.0,,,,,,,,,,,,,,,,,482718.0,,,482718.0,,,,,,,,,,,,,,,,,83.4,84.4,,,33.3,26-50% of geographies,14.8,,,100.0,26-50% of geographies,,,Top 25% of geographies
6,37018,"Tullahoma-Manchester, TN",Central,0.3,7.0,24.8,22.7,0.0,0.0,100.0,Top 25% of geographies,,81.2,85.0,,0.0,0.0,51-75% of geographies,,100.0,20.0,24.0,56.0,34.0,16.0,18.0,,,,,,,,,,,,,,1314951.0,176156.0,345630.0,793166.0,278336.0,94850.0,183486.0,,,,,,,,,,,,,,87.1,89.3,100.0,100.0,100.0,26-50% of geographies,11.6,100.0,58.2,,Bottom 25% of geographies,Top 25% of geographies,51-75% of geographies,
7,37019,"Lewisburg, TN",Central,3.9,31.0,3.0,3.2,0.0,,0.0,Bottom 25% of geographies,-28.8,59.8,54.5,99.6,,,Bottom 25% of geographies,-0.4,38.0,,2.0,36.0,,,,,,,,,2.0,,2.0,,,,,,1028060.0,,41664.0,986396.0,,,,,,,,,41664.0,,41664.0,,,,,,91.0,93.3,35.5,,100.0,51-75% of geographies,8.9,64.5,,0.0,Bottom 25% of geographies,Top 25% of geographies,,Bottom 25% of geographies
8,37020,"Shelbyville, TN",Central,3.6,187.0,7.0,7.3,0.0,14.5,0.0,26-50% of geographies,0.0,93.6,92.5,99.4,100.0,99.1,Top 25% of geographies,34.9,266.0,36.0,94.0,136.0,62.0,14.0,48.0,,2.0,,2.0,,,,,,,,,,8384682.0,1030554.0,2385322.0,4968806.0,861434.0,128568.0,732866.0,,41664.0,,41664.0,,,,,,,,,,91.1,91.2,100.0,100.0,100.0,51-75% of geographies,26.0,0.0,35.1,16.9,51-75% of geographies,Bottom 25% of geographies,26-50% of geographies,51-75% of geographies
9,37022,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,3.7,242.0,16.3,15.6,55.0,,2.6,51-75% of geographies,55.0,87.5,88.7,52.1,,83.7,Top 25% of geographies,-27.8,232.0,32.0,94.0,106.0,74.0,12.0,62.0,,2.0,,2.0,,,,,,,,,,3745288.0,377902.0,1527183.0,1840202.0,918624.0,163540.0,755084.0,,41664.0,,41664.0,,,,,,,,,,85.4,84.6,85.1,,100.0,26-50% of geographies,17.3,7.9,,34.9,26-50% of geographies,26-50% of geographies,,Top 25% of geographies
