,zip_code,CBSA Title,MSA_central_outlying,pct_hh_with_broadband_internet_subscriptions,pct_hh_with_broadband_internet_subscriptions_white_alone,pct_hh_with_broadband_internet_subscriptions_black_alone,pct_hh_with_broadband_internet_subscriptions_asian_alone,pct_hh_with_broadband_internet_subscriptions_hispanic,quartiles_pct_hh_with_broadband_internet_subscriptions,pct_bach_degree_or_higher_white_alone,pct_bach_degree_or_higher_black_alone,pct_bach_degree_or_higher_asian_alone,pct_bach_degree_or_higher_hispanic,quartiles_pct_bach_degree_or_higher_white_alone,quartiles_pct_bach_degree_or_higher_black_alone,quartiles_pct_bach_degree_or_higher_asian_alone,quartiles_pct_bach_degree_or_higher_hispanic
0,37010,"Clarksville, TN-KY",Central,90.9,91.8,88.1,100.0,80.5,51-75% of geographies,38.6,28.3,100.0,50.5,Top 25% of geographies,51-75% of geographies,Top 25% of geographies,Top 25% of geographies
1,37012,,Outlying,84.6,83.9,94.1,100.0,88.5,26-50% of geographies,11.7,0.0,100.0,0.0,Bottom 25% of geographies,Bottom 25% of geographies,Top 25% of geographies,Bottom 25% of geographies
2,37013,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,93.4,94.1,92.6,94.7,91.7,51-75% of geographies,29.7,32.6,24.5,10.1,51-75% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
3,37014,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,97.4,97.3,100.0,,100.0,Top 25% of geographies,29.5,54.5,,100.0,51-75% of geographies,Top 25% of geographies,,Top 25% of geographies
4,37015,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,86.6,87.0,89.5,100.0,67.6,26-50% of geographies,18.4,15.8,100.0,12.9,26-50% of geographies,51-75% of geographies,Top 25% of geographies,26-50% of geographies
5,37016,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,83.4,84.4,,,33.3,26-50% of geographies,14.8,,,100.0,26-50% of geographies,,,Top 25% of geographies
6,37018,"Tullahoma-Manchester, TN",Central,87.1,89.3,100.0,100.0,100.0,26-50% of geographies,11.6,100.0,58.2,,Bottom 25% of geographies,Top 25% of geographies,51-75% of geographies,
7,37019,"Lewisburg, TN",Central,91.0,93.3,35.5,,100.0,51-75% of geographies,8.9,64.5,,0.0,Bottom 25% of geographies,Top 25% of geographies,,Bottom 25% of geographies
8,37020,"Shelbyville, TN",Central,91.1,91.2,100.0,100.0,100.0,51-75% of geographies,26.0,0.0,35.1,16.9,51-75% of geographies,Bottom 25% of geographies,26-50% of geographies,51-75% of geographies
9,37022,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,85.4,84.6,85.1,,100.0,26-50% of geographies,17.3,7.9,,34.9,26-50% of geographies,26-50% of geographies,,Top 25% of geographies
10,37023,"Clarksville, TN-KY",Outlying,86.6,86.2,100.0,,100.0,26-50% of geographies,13.9,,,0.0,Bottom 25% of geographies,,,Bottom 25% of geographies
11,37025,,Outlying,81.4,81.6,0.0,,100.0,Bottom 25% of geographies,14.5,0.0,,100.0,26-50% of geographies,Bottom 25% of geographies,,Top 25% of geographies
12,37026,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,91.3,92.5,,,73.1,51-75% of geographies,14.5,,,0.0,26-50% of geographies,,,Bottom 25% of geographies
13,37027,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,98.2,98.0,98.9,100.0,98.1,Top 25% of geographies,73.9,79.8,82.6,68.5,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies
14,37028,"Clarksville, TN-KY",Outlying,100.0,100.0,,,,Top 25% of geographies,40.8,0.0,,0.0,Top 25% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies
15,37029,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,92.3,91.8,100.0,100.0,100.0,51-75% of geographies,29.6,0.0,100.0,44.8,51-75% of geographies,Bottom 25% of geographies,Top 25% of geographies,Top 25% of geographies
16,37030,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,84.5,85.8,41.8,100.0,64.1,26-50% of geographies,19.6,14.6,39.6,0.0,26-50% of geographies,26-50% of geographies,26-50% of geographies,Bottom 25% of geographies
17,37031,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,81.5,81.6,57.7,,100.0,26-50% of geographies,20.2,26.8,,0.0,26-50% of geographies,51-75% of geographies,,Bottom 25% of geographies
